layerType,supportProgram,defaultProgram,isFusible,fusibleWith
AdaptiveAvgPool2d,FragmentShader,FragmentShader,FALSE,
Add,FragmentShader,FragmentShader,FALSE,
AveragePooling2D,FragmentShader,FragmentShader,FALSE,
Calculate,FragmentShader,FragmentShader,FALSE,
Concatenate,FragmentShader,FragmentShader,FALSE,
Conv2D,FragmentShader,FragmentShader,FALSE,
Conv2DTranspose,FragmentShader,FragmentShader,FALSE,
Dense,ComputeShader;CPU,ComputeShader,FALSE,
Depthwise,None,None,FALSE,
DepthwiseConv2D,None,None,FALSE,
Flatten,ComputeShader;CPU,ComputeShader,FALSE,
GlobalAveragePooling2D,None,None,FALSE,
InputLayer,None,None,FALSE,
Lambda,None,None,FALSE,
MaxPooling2D,FragmentShader,FragmentShader,FALSE,
Multiply,None,None,FALSE,
Reshape,None,None,FALSE,
SeparableConv2D,FragmentShader,FragmentShader,FALSE,
Sequential,None,None,FALSE,
Subpixel,FragmentShader,FragmentShader,FALSE,
UpSampling2D,FragmentShader,FragmentShader,FALSE,
ZeroPadding2D,None,None,FALSE,
Activation,None,None,TRUE,Conv2D;Conv2DTranspose;DepthwiseConv2D;Dense;Add;Lambda
BatchNormalization,None,None,TRUE,Conv2D;Conv2DTranspose;DepthwiseConv2D
LeakyReLU,None,None,TRUE,Conv2D;Conv2DTranspose;DepthwiseConv2D;Dense;Add
ReLU,None,None,TRUE,Conv2D;Conv2DTranspose;DepthwiseConv2D;Dense;Add
